country rate year 
Estonia 2.07 1969 
Estonia 2.1 1970 
Estonia 2.12 1971 
Eswatini 6.73 1961 
Eswatini 6.75 1962 
Eswatini 6.76 1963 
Eswatini 6.78 1964 
Eswatini 6.8 1965 
Eswatini 6.82 1966 
Eswatini 6.84 1967 
Eswatini 6.86 1968 
Eswatini 6.87 1969 
Eswatini 6.88 1970 
Eswatini 6.88 1971 
Ethiopia 6.88 1961 
Ethiopia 6.88 1962 
Ethiopia 6.87 1963 
Ethiopia 6.87 1964 
Ethiopia 6.86 1965 
Ethiopia 6.87 1966 
Ethiopia 6.88 1967 
Ethiopia 6.9 1968 
Ethiopia 6.94 1969 
Ethiopia 6.98 1970 
Ethiopia 7.02 1971 
Fiji 6.28 1961 
Fiji 6.09 1962 
Fiji 5.88 1963 
Fiji 5.68 1964 
Fiji 5.48 1965 
Fiji 5.28 1966 
Fiji 5.08 1967 
Fiji 4.89 1968 
Fiji 4.71 1969 
Fiji 4.54 1970 
Fiji 4.4 1971 
Finland 2.65 1961 
Finland 2.66 1962 
Finland 2.66 1963 
Finland 2.58 1964 
Finland 2.46 1965 
Finland 2.41 1966 
Finland 2.32 1967 
Finland 2.15 1968 
Finland 1.94 1969 
Finland 1.83 1970 
Finland 1.7 1971 
France 2.8 1961 
France 2.81 1962 
France 2.81 1963 
France 2.8 1964 
France 2.77 1965 
France 2.73 1966 
France 2.68 1967 
France 2.62 1968 
France 2.56 1969 
France 2.49 1970 
France 2.41 1971 
Gabon 4.94 1961 
Gabon 4.97 1962 
Gabon 5.01 1963 
Gabon 5.04 1964 
Gabon 5.08 1965 
Gabon 5.11 1966 
Gabon 5.14 1967 
Gabon 5.18 1968 
Gabon 5.21 1969 
Gabon 5.25 1970 
Gabon 5.28 1971 
Gambia 5.62 1961 
Gambia 5.67 1962 
Gambia 5.72 1963 
Gambia 5.78 1964 
Gambia 5.83 1965 
Gambia 5.88 1966 
Gambia 5.94 1967 
Gambia 5.99 1968 
Gambia 6.04 1969 
Gambia 6.09 1970 
Gambia 6.14 1971 
Georgia 2.94 1961 
Georgia 2.94 1962 
