country rate year 
Estonia 1 1966 
Estonia 1 1967 
Estonia 1 1968 
Estonia 1 1969 
Estonia 1 1970 
Estonia 1 1971 
Eswatini 2 1961 
Eswatini 2 1962 
Eswatini 2 1963 
Eswatini 2 1964 
Eswatini 2 1965 
Eswatini 2 1966 
Eswatini 2 1967 
Eswatini 2 1968 
Eswatini 2 1969 
Eswatini 2 1970 
Eswatini 2 1971 
Ethiopia 2 1961 
Ethiopia 2 1962 
Ethiopia 2 1963 
Ethiopia 3 1964 
Ethiopia 3 1965 
Ethiopia 3 1966 
Ethiopia 2 1967 
Ethiopia 2 1968 
Ethiopia 2 1969 
Ethiopia 2 1970 
Ethiopia 2 1971 
Fiji 2 1961 
Fiji 2 1962 
Fiji 2 1963 
Fiji 2 1964 
Fiji 2 1965 
Fiji 2 1966 
Fiji 2 1967 
Fiji 2 1968 
Fiji 2 1969 
Fiji 2 1970 
Fiji 2 1971 
Finland 1 1961 
Finland 1 1962 
Finland 1 1963 
Finland 1 1964 
Finland 1 1965 
Finland 1 1966 
Finland 1 1967 
Finland 1 1968 
Finland 1 1969 
Finland 1 1970 
Finland 1 1971 
France 1 1961 
France 1 1962 
France 1 1963 
France 1 1964 
France 1 1965 
France 1 1966 
France 1 1967 
France 1 1968 
France 1 1969 
France 1 1970 
France 1 1971 
Gabon 2 1961 
Gabon 2 1962 
Gabon 2 1963 
Gabon 2 1964 
Gabon 2 1965 
Gabon 2 1966 
Gabon 2 1967 
Gabon 2 1968 
Gabon 2 1969 
Gabon 2 1970 
Gabon 2 1971 
Gambia 2 1961 
Gambia 2 1962 
Gambia 2 1963 
Gambia 2 1964 
Gambia 2 1965 
Gambia 2 1966 
Gambia 2 1967 
Gambia 2 1968 
Gambia 2 1969 
Gambia 2 1970 
Gambia 2 1971 
Georgia 2 1961 
Georgia 2 1962 
Georgia 2 1963 
Georgia 2 1964 
Georgia 2 1965 
Georgia 2 1966 
Georgia 2 1967 
Georgia 2 1968 
Georgia 2 1969 
Georgia 2 1970 
Georgia 2 1971 
Germany 1 1961 
Germany 1 1962 
Germany 1 1963 
Germany 1 1964 
Germany 1 1965 
Germany 1 1966 
Germany 1 1967 
Germany 1 1968 
Germany 1 1969 
Germany 1 1970 
Germany 1 1971 
Ghana 2 1961 
Ghana 2 1962 
Ghana 2 1963 
Ghana 2 1964 
Ghana 2 1965 
Ghana 2 1966 
Ghana 2 1967 
Ghana 2 1968 
Ghana 2 1969 
Ghana 2 1970 
Ghana 2 1971 
Greece 2 1961 
Greece 2 1962 
Greece 2 1963 
Greece 2 1964 
Greece 2 1965 
Greece 2 1966 
Greece 2 1967 
Greece 2 1968 
Greece 2 1969 
Greece 2 1970 
Greece 2 1971 
Grenada 2 1961 
Grenada 2 1962 
Grenada 2 1963 
Grenada 2 1964 
Grenada 2 1965 
Grenada 2 1966 
Grenada 2 1967 
Grenada 2 1968 
Grenada 2 1969 
Grenada 2 1970 
Grenada 2 1971 
Guatemala 2 1961 
Guatemala 2 1962 
Guatemala 2 1963 
Guatemala 2 1964 
Guatemala 2 1965 
Guatemala 2 1966 
Guatemala 2 1967 
Guatemala 2 1968 
Guatemala 2 1969 
Guatemala 2 1970 
Guatemala 2 1971 
Guinea 2 1961 
Guinea 2 1962 
Guinea 2 1963 
Guinea 2 1964 
Guinea 2 1965 
Guinea 2 1966 
Guinea 2 1967 
Guinea 2 1968 
Guinea 2 1969 
Guinea 2 1970 
Guinea 2 1971 
Guinea-Bissau 2 1961 
Guinea-Bissau 2 1962 
Guinea-Bissau 2 1963 
Guinea-Bissau 2 1964 
Guinea-Bissau 2 1965 
Guinea-Bissau 2 1966 
Guinea-Bissau 2 1967 
Guinea-Bissau 2 1968 
Guinea-Bissau 2 1969 
Guinea-Bissau 2 1970 
Guinea-Bissau 2 1971 
Guyana 2 1961 
Guyana 2 1962 
Guyana 2 1963 
Guyana 2 1964 
Guyana 2 1965 
Guyana 2 1966 
Guyana 2 1967 
Guyana 2 1968 
Guyana 2 1969 
Guyana 2 1970 
Guyana 2 1971 
Haiti 2 1961 
Haiti 2 1962 
Haiti 2 1963 
Haiti 2 1964 
Haiti 2 1965 
Haiti 2 1966 
Haiti 2 1967 
Haiti 2 1968 
Haiti 2 1969 
Haiti 2 1970 
Haiti 2 1971 
Honduras 2 1961 
Honduras 2 1962 
Honduras 2 1963 
Honduras 2 1964 
Honduras 2 1965 
Honduras 2 1966 
Honduras 2 1967 
Honduras 2 1968 
Honduras 2 1969 
Honduras 2 1970 
Honduras 2 1971 
Hungary 1 1961 
Hungary 1 1962 
Hungary 1 1963 
Hungary 1 1964 
Hungary 1 1965 
Hungary 1 1966 
Hungary 1 1967 
Hungary 1 1968 
Hungary 1 1969 
Hungary 1 1970 
Hungary 1 1971 
Iceland 1 1961 
Iceland 1 1962 
Iceland 1 1963 
Iceland 1 1964 
Iceland 1 1965 
Iceland 1 1966 
Iceland 1 1967 
Iceland 1 1968 
Iceland 1 1969 
Iceland 1 1970 
Iceland 1 1971 
India 2 1961 
India 2 1962 
India 2 1963 
India 2 1964 
India 2 1965 
India 2 1966 
India 2 1967 
India 2 1968 
India 2 1969 
India 2 1970 
India 2 1971 
Indonesia 2 1961 
Indonesia 2 1962 
Indonesia 2 1963 
Indonesia 2 1964 
Indonesia 3 1965 
Indonesia 3 1966 
Indonesia 2 1967 
Indonesia 2 1968 
Indonesia 2 1969 
Indonesia 2 1970 
Indonesia 2 1971 
Iran 2 1961 
Iran 2 1962 
Iran 2 1963 
Iran 2 1964 
Iran 2 1965 
Iran 2 1966 
Iran 2 1967 
Iran 2 1968 
Iran 2 1969 
Iran 2 1970 
Iran 2 1971 
Iraq 2 1961 
Iraq 2 1962 
Iraq 2 1963 
Iraq 2 1964 
Iraq 2 1965 
Iraq 2 1966 
Iraq 2 1967 
Iraq 2 1968 
Iraq 2 1969 
Iraq 2 1970 
Iraq 2 1971 
Ireland 1 1961 
Ireland 1 1962 
Ireland 1 1963 
Ireland 1 1964 
Ireland 1 1965 
Ireland 1 1966 
Ireland 1 1967 
Ireland 1 1968 
Ireland 1 1969 
Ireland 1 1970 
Ireland 1 1971 
Israel 2 1961 
Israel 2 1962 
Israel 2 1963 
Israel 2 1964 
Israel 2 1965 
Israel 2 1966 
Israel 2 1967 
Israel 2 1968 
Israel 2 1969 
Israel 2 1970 
Israel 2 1971 
Italy 1 1961 
Italy 1 1962 
Italy 1 1963 
Italy 1 1964 
Italy 1 1965 
Italy 1 1966 
Italy 1 1967 
Italy 1 1968 
Italy 1 1969 
Italy 1 1970 
Italy 1 1971 
Jamaica 2 1961 
Jamaica 2 1962 
Jamaica 2 1963 
Jamaica 2 1964 
Jamaica 2 1965 
Jamaica 2 1966 
Jamaica 2 1967 
Jamaica 2 1968 
Jamaica 2 1969 
Jamaica 2 1970 
Jamaica 2 1971 
Japan 1 1961 
Japan 1 1962 
Japan 1 1963 
Japan 1 1964 
Japan 1 1965 
Japan 1 1966 
Japan 1 1967 
Japan 1 1968 
Japan 1 1969 
Japan 1 1970 
Japan 1 1971 
Jordan 2 1961 
Jordan 2 1962 
Jordan 2 1963 
Jordan 2 1964 
Jordan 2 1965 
Jordan 2 1966 
Jordan 2 1967 
Jordan 2 1968 
Jordan 2 1969 
Jordan 2 1970 
Jordan 2 1971 
Kazakhstan 2 1961 
Kazakhstan 2 1962 
Kazakhstan 2 1963 
Kazakhstan 2 1964 
Kazakhstan 2 1965 
Kazakhstan 2 1966 
Kazakhstan 2 1967 
Kazakhstan 2 1968 
Kazakhstan 2 1969 
Kazakhstan 2 1970 
Kazakhstan 2 1971 
Kenya 2 1961 
Kenya 2 1962 
Kenya 2 1963 
Kenya 2 1964 
Kenya 2 1965 
Kenya 2 1966 
Kenya 2 1967 
Kenya 2 1968 
Kenya 2 1969 
Kenya 2 1970 
Kenya 2 1971 
Kiribati 2 1961 
Kiribati 2 1962 
Kiribati 2 1963 
Kiribati 2 1964 
Kiribati 2 1965 
Kiribati 2 1966 
Kiribati 2 1967 
Kiribati 2 1968 
Kiribati 2 1969 
Kiribati 2 1970 
Kiribati 2 1971 
Kuwait 2 1961 
Kuwait 2 1962 
Kuwait 2 1963 
Kuwait 2 1964 
Kuwait 2 1965 
Kuwait 2 1966 
Kuwait 2 1967 
Kuwait 2 1968 
Kuwait 2 1969 
Kuwait 2 1970 
Kuwait 2 1971 
Kyrgyz Republic 2 1961 
Kyrgyz Republic 2 1962 
Kyrgyz Republic 2 1963 
Kyrgyz Republic 2 1964 
Kyrgyz Republic 2 1965 
Kyrgyz Republic 2 1966 
Kyrgyz Republic 2 1967 
Kyrgyz Republic 2 1968 
Kyrgyz Republic 2 1969 
Kyrgyz Republic 2 1970 
Kyrgyz Republic 2 1971 
Lao 2 1961 
Lao 2 1962 
Lao 2 1963 
Lao 2 1964 
Lao 2 1965 
Lao 2 1966 
Lao 2 1967 
Lao 2 1968 
Lao 2 1969 
Lao 2 1970 
Lao 2 1971 
Latvia 1 1961 
Latvia 1 1962 
Latvia 1 1963 
Latvia 1 1964 
Latvia 1 1965 
Latvia 1 1966 
Latvia 1 1967 
Latvia 1 1968 
Latvia 1 1969 
Latvia 1 1970 
Latvia 1 1971 
Lebanon 2 1961 
Lebanon 2 1962 
Lebanon 2 1963 
Lebanon 2 1964 
Lebanon 2 1965 
Lebanon 2 1966 
Lebanon 2 1967 
Lebanon 2 1968 
Lebanon 2 1969 
Lebanon 2 1970 
Lebanon 2 1971 
Lesotho 2 1961 
Lesotho 2 1962 
Lesotho 2 1963 
