Dataenergy_production_total.csv
,
3
year,country,rate
2003,North Macedonia,1670
2004,North Macedonia,1600
2005,North Macedonia,1580
2006,North Macedonia,1620
2007,North Macedonia,1500
2008,North Macedonia,1620
2009,North Macedonia,1610
1960,Norway,2970
1961,Norway,3150
1962,Norway,3600
1963,Norway,3690
1964,Norway,4120
1965,Norway,4550
1966,Norway,4480
1967,Norway,4880
1968,Norway,5410
1969,Norway,5200
1970,Norway,5290
1971,Norway,6030
1972,Norway,7650
1973,Norway,8060
1974,Norway,8570
1975,Norway,16100
1976,Norway,21800
1977,Norway,23300
1978,Norway,36900
1979,Norway,45900
1980,Norway,55000
1981,Norway,55400
1982,Norway,55400
1983,Norway,63500
1984,Norway,69600
1985,Norway,72600
1986,Norway,74900
1987,Norway,86500
1988,Norway,94900
1989,Norway,113000
1990,Norway,119000
1991,Norway,131000
1992,Norway,147000
1993,Norway,155000
1994,Norway,170000
1995,Norway,184000
1996,Norway,207000
1997,Norway,213000
1998,Norway,206000
1999,Norway,209000
2000,Norway,227000
2001,Norway,226000
2002,Norway,235000
2003,Norway,234000
2004,Norway,228000
2005,Norway,224000
2006,Norway,215000
2007,Norway,215000
2008,Norway,219000
2009,Norway,214000
2010,Norway,205000
1960,Oman,
1961,Oman,
1962,Oman,
1963,Oman,
1964,Oman,
1965,Oman,
1966,Oman,
1967,Oman,
1968,Oman,
1969,Oman,
1970,Oman,
1971,Oman,15200
1972,Oman,14600
1973,Oman,15200
1974,Oman,15100
1975,Oman,17800
1976,Oman,19000
1977,Oman,17600
1978,Oman,16500
1979,Oman,15600
1980,Oman,15100
1981,Oman,17400
1982,Oman,17900
1983,Oman,20700
1984,Oman,22400
1985,Oman,26800
1986,Oman,30300
1987,Oman,31600
1988,Oman,33600
1989,Oman,34700
1990,Oman,38300
1991,Oman,39500
1992,Oman,41700
1993,Oman,44300
1994,Oman,46300
1995,Oman,48700
1996,Oman,50200
1997,Oman,51500
1998,Oman,51800
1999,Oman,54000
2000,Oman,61000
2001,Oman,65300
2002,Oman,63300
2003,Oman,60500
2004,Oman,58900
2005,Oman,60300
2006,Oman,61700
2007,Oman,60500
2008,Oman,63400
2009,Oman,67200
1960,Pakistan,
1961,Pakistan,
1962,Pakistan,
1963,Pakistan,
1964,Pakistan,
1965,Pakistan,
1966,Pakistan,
1967,Pakistan,
1968,Pakistan,
1969,Pakistan,
1970,Pakistan,
1971,Pakistan,14400
1972,Pakistan,14800
1973,Pakistan,15600
1974,Pakistan,16400
1975,Pakistan,17100
1976,Pakistan,17400
1977,Pakistan,18300
1978,Pakistan,19000
1979,Pakistan,19800
1980,Pakistan,20900
1981,Pakistan,22100
1982,Pakistan,23100
1983,Pakistan,24000
1984,Pakistan,24400
1985,Pakistan,26000
1986,Pakistan,27500
1987,Pakistan,30200
1988,Pakistan,31400
1989,Pakistan,33100
1990,Pakistan,34200
1991,Pakistan,36200
1992,Pakistan,37700
1993,Pakistan,39000
1994,Pakistan,39500
1995,Pakistan,41000
1996,Pakistan,42000
1997,Pakistan,42200
1998,Pakistan,43300
1999,Pakistan,45100
2000,Pakistan,46900
2001,Pakistan,49000
2002,Pakistan,50100
2003,Pakistan,55300
